L_loc1,L_loc2,L_lin,IL_4G
5.420,4.600,5.020,-8.931
5.420,4.600,5.240,-4.137
5.420,4.600,5.460,-0.862
5.420,4.600,5.680,-7.413
5.420,4.600,5.900,-7.917
5.420,4.800,4.800,-20.065
5.420,4.800,5.020,-21.917
5.420,4.800,5.240,-14.152
5.420,4.800,5.460,-14.897
5.420,4.800,5.680,-22.113
5.420,4.800,5.900,-19.558
5.420,5.000,4.800,-15.967
5.420,5.000,5.020,-15.436
5.420,5.000,5.240,-6.821
5.420,5.000,5.460,-11.943
5.420,5.000,5.680,-16.963
5.420,5.000,5.900,-12.069
5.600,4.000,4.800,-34.240
5.600,4.000,5.020,-40.307
5.600,4.000,5.240,-33.167
5.600,4.000,5.460,-24.025
5.600,4.000,5.680,-38.629
5.600,4.000,5.900,-38.910
5.600,4.200,4.800,-12.407
5.600,4.200,5.020,-15.020
5.600,4.200,5.240,-3.905
5.600,4.200,5.460,-4.658
5.600,4.200,5.680,-15.185
5.600,4.200,5.900,-11.947
5.600,4.400,4.800,-5.521
5.600,4.400,5.020,-0.928
5.600,4.400,5.240,-3.353
5.600,4.400,5.460,-1.490
5.600,4.400,5.680,-5.290
5.600,4.400,5.900,-1.056
5.600,4.600,4.800,-0.822
5.600,4.600,5.020,-11.809
5.600,4.600,5.240,-10.002
5.600,4.600,5.460,-0.001
5.600,4.600,5.680,-6.690
5.600,4.600,5.900,-12.672
5.600,4.800,4.800,-18.800
5.600,4.800,5.020,-26.328
5.600,4.800,5.240,-20.588
5.600,4.800,5.460,-8.567
5.600,4.800,5.680,-23.927
5.600,4.800,5.900,-25.474
5.600,5.000,4.800,-16.473
5.600,5.000,5.020,-20.696
5.600,5.000,5.240,-11.395
5.600,5.000,5.460,-7.534
5.600,5.000,5.680,-19.973
5.600,5.000,5.900,-18.484
